City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
402,Fethiye,TR,36.6217,29.1164,84.07,49,0,2.08,Clear
403,Trairi,BR,-3.2778,-39.2689,84.29,64,28,13.73,Clouds
404,Raudeberg,NO,61.9875,5.1352,56.07,74,71,5.84,Clouds
405,Vila Franca Do Campo,PT,37.7167,-25.4333,73.81,72,69,4.56,Clouds
406,Esil,KZ,51.9556,66.4042,69.39,62,91,7.18,Clouds
407,Kropotkin,RU,45.4375,40.5756,83.43,31,3,9.64,Clear
408,Orlik,RU,52.5178,99.825,54.3,80,65,2.53,Clouds
409,Ardmore,US,34.1743,-97.1436,89.85,49,0,10.36,Clear
410,Rio Gallegos,AR,-51.6226,-69.2181,42.85,61,0,10.36,Clear
411,Komyshuvakha,UA,47.7176,35.5288,84.4,33,64,10.25,Clouds
412,Ambon,ID,-3.6954,128.1814,75.34,94,20,8.05,Clouds
413,Thanh Hoa,VN,19.8,105.7667,80.31,86,65,2.55,Clouds
414,Gamba,GA,-2.65,10.0,72.7,88,35,9.08,Clouds
415,Inirida,CO,3.8653,-67.9239,85.8,69,26,1.01,Clouds
416,Atbasar,KZ,51.8,68.3333,66.45,70,88,6.69,Clouds
417,Neftcala,AZ,39.3742,49.2472,79.11,66,43,8.86,Clouds
418,Kapuskasing,CA,49.4169,-82.4331,80.69,61,75,13.8,Clouds
419,Udachnyy,RU,66.4167,112.4,59.45,93,100,14.79,Clouds
420,Ukiah,US,39.1502,-123.2078,93.65,50,0,4.61,Clear
421,Husavik,IS,66.0449,-17.3389,43.41,90,100,16.82,Clouds
422,Salamiyah,SY,35.0113,37.0532,78.13,50,0,9.04,Clear
423,Vernon,CA,50.2581,-119.2691,93.61,28,0,2.3,Clear
424,Rock Sound,BS,24.9,-76.2,83.12,78,49,16.64,Clouds
425,Kuytun,RU,54.3419,101.5036,58.8,95,97,6.73,Clouds
426,Busayra,JO,30.7376,35.6078,73.63,42,0,6.51,Clear
427,Puerto Escondido,MX,15.85,-97.0667,88.63,66,40,8.05,Clouds
428,Ottawa,CA,45.4112,-75.6981,83.98,52,75,9.22,Clouds
429,Cayenne,GF,4.9333,-52.3333,89.64,10,8,9.22,Clear
430,Ca Mau,VN,9.1769,105.15,79.09,90,100,4.32,Clouds
431,Okhotsk,RU,59.3833,143.3,57.38,92,100,7.0,Clouds
432,Virden,US,39.5009,-89.7679,80.31,81,100,7.87,Clouds
433,Seydisehir,TR,37.4193,31.8453,72.43,42,3,1.16,Clear
434,Kolokani,ML,13.5728,-8.0339,82.4,62,94,7.65,Clouds
435,Allada,BJ,6.6655,2.1514,75.96,81,84,10.87,Clouds
436,Ostrovnoy,RU,68.0531,39.5131,59.43,75,71,7.09,Clouds
437,Japura,ID,-0.3167,102.35,74.97,95,100,2.55,Clouds
438,Bhawanipatna,IN,19.9,83.1667,81.36,75,100,3.69,Clouds
439,Porto Novo,BJ,6.4965,2.6036,76.82,78,100,11.52,Clouds
440,Basar,IN,27.9833,94.6667,72.19,100,100,1.34,Clouds
441,Srivardhan,IN,18.0333,73.0167,81.07,84,27,4.03,Clouds
442,Antofagasta,CL,-23.65,-70.4,58.28,78,56,9.78,Clouds
443,Ossora,RU,59.2353,163.0719,53.87,82,33,3.58,Clouds
444,Krapivinskiy,RU,54.9992,86.8133,60.12,96,100,3.91,Clouds
445,Klaksvik,FO,62.2266,-6.589,51.82,82,38,17.47,Clouds
446,Clifton,US,40.8584,-74.1638,89.83,44,20,9.22,Clouds
447,Manakara,MG,-22.1333,48.0167,66.58,91,1,6.33,Clear
448,Mutoko,ZW,-17.397,32.2268,57.18,33,1,4.21,Clear
449,Brufut,GM,13.3814,-16.7518,75.29,88,75,4.61,Rain
450,Port Lincoln,AU,-34.7333,135.8667,52.02,79,5,14.05,Clear
451,Tura,IN,25.5198,90.2201,73.69,97,100,3.94,Clouds
452,Brownwood,US,31.7093,-98.9912,98.96,28,61,11.14,Clouds
453,Gornopravdinsk,RU,60.05,69.9,57.34,65,100,7.38,Clouds
454,Tasnad,RO,47.4833,22.5833,63.79,78,95,7.45,Rain
455,Terrace,CA,54.5163,-128.6035,75.11,68,75,4.61,Clouds
456,Makakilo City,US,21.3469,-158.0858,80.19,65,0,11.5,Clear
457,Sechura,PE,-5.5569,-80.8222,73.72,59,18,15.19,Clouds
458,Saint-Georges,GD,12.0564,-61.7485,83.88,84,40,16.11,Clouds
459,Acapulco,MX,16.8634,-99.8901,87.62,62,40,6.91,Clouds
460,Iwanai,JP,42.9744,140.5089,72.36,97,100,2.15,Clouds
461,Irbeyskoye,RU,55.6428,95.4522,60.84,92,20,5.28,Clouds
462,Sakaiminato,JP,35.55,133.2333,85.98,66,75,6.91,Clouds
463,Puerto Carreno,CO,6.189,-67.4859,87.82,61,51,2.55,Clouds
464,Cap-Aux-Meules,CA,47.3821,-61.8597,71.65,73,75,17.27,Clouds
465,Storforshei,NO,66.4043,14.5233,62.38,67,75,0.0,Clouds
466,Sibolga,ID,1.7427,98.7792,76.64,86,100,2.71,Clouds
467,Eureka,US,40.8021,-124.1637,72.19,75,100,4.0,Clouds
468,Beloha,MG,-25.1667,45.05,66.0,88,2,4.88,Clear
469,Severo-Kurilsk,RU,50.6789,156.125,52.21,92,100,9.62,Clouds
470,Boa Vista,BR,2.8197,-60.6733,87.78,55,40,9.22,Clouds
471,Dunedin,NZ,-45.8742,170.5036,42.8,65,0,6.06,Clear
472,Los Llanos De Aridane,ES,28.6585,-17.9182,73.13,83,75,14.97,Clouds
473,Kroya,ID,-7.6331,109.2461,74.41,87,51,4.88,Clouds
474,Hovd,MN,48.0056,91.6419,68.65,44,100,3.47,Clouds
475,Sorland,NO,67.667,12.6934,57.06,94,99,9.93,Clouds
476,Bac Lieu,VN,9.285,105.7244,80.96,85,100,9.26,Clouds
477,Nsunga,TZ,-1.1439,31.3947,65.32,83,91,0.54,Clouds
478,Henties Bay,NA,-22.116,14.2845,54.55,79,34,7.47,Clouds
479,Dillon,US,34.4166,-79.3712,96.04,38,46,11.03,Clouds
480,Palasa,IN,18.7667,84.4167,81.48,88,100,6.93,Clouds
481,Adre,TD,13.4667,22.2,77.16,73,100,6.67,Rain
482,Pimentel,PE,-6.8367,-79.9342,70.09,64,0,14.97,Clear
483,Plouzane,FR,48.3833,-4.6167,68.32,91,100,9.22,Clouds
484,Jutai,BR,-5.1833,-68.9,87.19,58,90,1.57,Clouds
485,Carutapera,BR,-1.195,-46.02,80.98,84,25,7.16,Clouds
486,Khipro,PK,25.8285,69.3772,84.15,77,16,21.5,Clouds
487,Ulety,RU,51.3572,112.4849,59.32,75,100,3.71,Clouds
488,Dong Xoai,VN,11.5333,106.9167,75.13,96,98,4.07,Clouds
489,San Cosme Y Damian,PY,-27.3167,-56.35,75.38,44,0,0.45,Clear
490,Souillac,MU,-20.5167,57.5167,70.18,73,40,17.27,Clouds
491,Acajutla,SV,13.5928,-89.8275,84.27,71,69,2.68,Clouds
492,Sfantu Gheorghe,RO,45.8667,25.7833,63.93,87,92,2.68,Clouds
493,Okato,NZ,-39.2,173.8833,47.17,83,36,5.01,Clouds
494,Muravlenko,RU,63.7898,74.523,52.74,61,0,11.52,Clear
495,Olinda,BR,-8.0089,-34.8553,80.33,69,40,12.66,Clouds
496,Usman,RU,52.0466,39.7288,68.04,57,100,6.76,Clouds
497,Leningradskiy,RU,69.3833,178.4167,48.79,66,34,5.14,Clouds
498,Lima,PE,-12.0432,-77.0282,65.89,75,100,4.61,Clouds
499,Hearst,CA,49.6835,-83.6665,79.05,50,52,8.66,Clouds
500,Ulladulla,AU,-35.35,150.4667,53.74,81,100,13.4,Rain
501,Kahului,US,20.8947,-156.47,80.62,67,20,13.8,Clouds
502,Susangerd,IR,31.5608,48.1831,103.96,24,0,13.09,Clear
503,Kristiinankaupunki,FI,62.2743,21.376,61.47,80,99,9.64,Clouds
504,Nyimba,ZM,-14.5566,30.8149,67.75,45,0,7.78,Clear
505,Tiarei,PF,-17.5333,-149.3333,77.02,73,32,27.11,Clouds
506,Namibe,AO,-15.1961,12.1522,60.03,77,16,12.71,Clouds
507,Bubaque,GW,11.2833,-15.8333,79.66,78,87,17.45,Clouds
508,Arman,RU,59.7,150.1667,53.02,93,92,6.53,Clouds
509,Cap Malheureux,MU,-19.9842,57.6142,71.47,70,2,4.0,Clear
510,Leeds,GB,53.7964,-1.5477,69.42,73,40,5.75,Clouds
511,Axim,GH,4.8699,-2.2405,74.88,80,75,12.19,Clouds
512,Viedma,AR,-40.8135,-62.9967,57.79,42,15,9.1,Clouds
513,Itoman,JP,26.1247,127.6694,81.37,92,75,20.71,Rain
514,Metro,ID,-5.1131,105.3067,74.28,93,48,2.84,Clouds
515,Kirovskiy,RU,45.0917,133.5136,71.71,96,100,3.89,Rain
516,Almaznyy,RU,48.0448,40.045,77.49,35,34,13.8,Clouds
517,Bethel,US,41.3712,-73.414,88.05,49,0,1.99,Clear
518,Kanniyakumari,IN,8.0833,77.5667,79.63,85,56,17.52,Rain
519,Formosa Do Rio Preto,BR,-11.0483,-45.1931,95.72,18,18,2.64,Clouds
520,Bluefield,US,37.2698,-81.2223,77.56,69,40,12.66,Clouds
521,Lazaro Cardenas,MX,17.9583,-102.2,88.32,59,21,8.86,Clouds
522,Ardakan,IR,32.31,54.0175,90.19,19,4,6.55,Clear
523,Vuktyl,RU,63.8567,57.3094,62.29,47,89,8.14,Clouds
524,Riberalta,BO,-10.9833,-66.1,91.6,49,20,0.0,Clouds
525,Seymchan,RU,62.8833,152.4333,54.32,73,94,6.62,Clouds
526,Illapel,CL,-31.6308,-71.1653,65.73,50,100,3.71,Clouds
527,Sayyan,YE,15.1718,44.3244,59.9,76,18,4.25,Clouds
528,Trinidad,BO,-14.8333,-64.9,91.38,40,20,13.8,Smoke
529,Artvin,TR,41.1667,41.8333,68.72,85,11,0.81,Clouds
530,Trat,TH,12.5,102.5,85.14,95,100,1.21,Rain
531,Dawson Creek,CA,55.7666,-120.2362,71.24,68,20,5.75,Clouds
532,Massaguet,TD,12.4755,15.4365,83.41,57,100,5.82,Clouds
533,Lavrentiya,RU,65.5833,-171.0,43.99,81,75,3.44,Clouds
534,Jaffna,LK,9.6685,80.0074,82.67,81,100,23.24,Clouds
535,Inhambane,MZ,-23.865,35.3833,66.18,88,20,6.91,Clouds
536,Biak,ID,-0.9131,122.8766,74.95,87,100,3.42,Clouds
537,Piranshahr,IR,36.701,45.1413,75.63,18,0,5.14,Clear
538,Russell,US,32.3502,-85.1999,94.96,55,20,8.05,Clouds
539,Tonj,SS,7.2737,28.6822,71.08,95,100,4.36,Clouds
540,Camacha,PT,33.0833,-16.3333,71.02,68,20,13.8,Clouds
541,Azangaro,PE,-14.9167,-70.2167,65.12,8,0,2.82,Clear
542,Mpongwe,ZM,-13.5091,28.155,62.46,33,0,5.21,Clear
543,Piacabucu,BR,-10.4056,-36.4344,78.33,75,0,9.08,Clear
544,Vermilion,US,40.1667,-87.7506,86.02,51,40,6.91,Clouds
545,Saint-Joseph,RE,-21.3667,55.6167,66.2,79,25,11.72,Rain
546,Mocuba,MZ,-16.8392,36.9856,65.25,93,5,3.31,Clear
547,Bontang,ID,0.1333,117.5,74.37,90,100,2.39,Clouds
548,Paita,PE,-5.0892,-81.1144,69.22,70,7,16.78,Clear
549,Dabra,IN,25.9,78.3333,86.81,60,99,9.55,Clouds
550,Ahuimanu,US,21.4447,-157.8378,81.36,69,20,14.97,Clouds
551,Ypsonas,CY,34.6884,32.9574,81.57,78,0,9.22,Clear
552,Batemans Bay,AU,-35.7167,150.1833,54.1,81,100,12.06,Rain
553,Oranjemund,NA,-28.55,16.4333,53.78,79,0,23.67,Clear
554,Kamenka,RU,51.3223,42.7678,68.83,56,86,10.96,Clouds
555,Skjervoy,NO,70.0311,20.9714,60.8,79,100,1.43,Clouds
556,Sangar,RU,63.9242,127.4739,66.24,79,91,11.23,Clouds
557,Nouakchott,MR,18.0858,-15.9785,85.93,77,22,12.41,Clouds
558,Devils Lake,US,48.1128,-98.8651,69.91,83,100,18.41,Clouds
559,Srednekolymsk,RU,67.45,153.6833,62.78,45,38,7.2,Clouds
560,Bandarbeyla,SO,9.4942,50.8122,76.33,81,99,29.1,Clouds
561,Hailar,CN,49.2,119.7,64.18,79,96,6.08,Clouds
562,Faya,SA,18.3851,42.4509,66.72,71,51,5.73,Clouds
563,Ust-Ilimsk,RU,58.0006,102.6619,59.13,96,7,3.44,Clear
564,Laguna,US,38.421,-121.4238,83.01,66,0,9.22,Clear
565,Margau,RO,46.75,22.9667,54.14,93,85,5.23,Clouds
566,Najran,SA,17.4924,44.1277,90.25,52,25,12.26,Clouds
567,Vilyuysk,RU,63.7553,121.6247,63.01,87,100,1.97,Clouds
568,Blackwater,AU,-23.5833,148.8833,55.38,86,92,7.11,Clouds
569,Magistralnyy,RU,56.1725,107.4458,60.06,97,100,3.27,Clouds
570,Tongliao,CN,43.6125,122.2653,73.0,86,0,7.85,Clear
571,Urucara,BR,-2.5364,-57.76,85.44,64,100,2.33,Clouds
572,Arona,ES,28.0996,-16.681,74.01,71,0,20.71,Clear
573,Matara,LK,5.9485,80.5353,77.58,90,100,12.37,Clouds
574,Burnie,AU,-41.0667,145.9167,48.94,84,100,14.74,Clouds
575,Belyy Yar,RU,53.6039,91.3903,63.86,88,0,4.47,Clear
576,Bangarapet,IN,12.9667,78.2,73.92,82,99,2.04,Clouds
577,Manaus,BR,-3.1019,-60.025,84.69,74,40,3.44,Rain
578,Eyl,SO,7.9803,49.8164,77.13,75,28,24.52,Clouds
579,Dubbo,AU,-32.25,148.6167,51.93,93,75,16.11,Rain
580,Baruun-Urt,MN,46.6806,113.2792,63.82,54,48,5.1,Clouds
581,Pochutla,MX,15.7432,-96.4661,92.82,54,86,7.61,Clouds
582,Bekhtery,UA,46.251,32.2927,74.88,47,84,8.43,Clouds
583,Ayan,RU,56.45,138.1667,56.93,98,100,4.94,Clouds
584,Rudnyy,KZ,52.9594,63.1206,64.63,83,19,6.26,Rain
585,Hamilton,US,39.1834,-84.5333,79.32,76,100,8.05,Clouds
586,Kumluca,TR,36.3703,30.2869,83.95,63,0,4.65,Clear
587,Pavino,RU,59.1139,46.1414,58.23,78,68,4.76,Clouds
588,Port Blair,IN,11.6667,92.75,78.84,94,75,2.3,Drizzle
589,Garden City,US,42.3256,-83.331,87.15,47,75,10.36,Clouds
590,Yerofey Pavlovich,RU,53.9667,121.9667,57.87,96,100,0.98,Clouds
591,Lokosovo,RU,61.1333,74.8167,54.66,67,100,10.25,Clouds
592,Chirongui,YT,-12.9319,45.1483,75.13,73,0,7.43,Clear
593,Batagay-Alyta,RU,67.8006,130.4114,60.33,82,100,2.71,Clouds
594,Umm Lajj,SA,25.0213,37.2685,88.72,46,70,7.54,Clouds
595,Mamallapuram,IN,12.6264,80.1722,86.05,77,91,8.23,Clouds
596,Manaure,CO,11.7751,-72.4445,92.32,45,3,22.15,Clear
597,Kaseda,JP,31.4167,130.3167,82.2,84,47,25.1,Clouds
598,Kulachi,PK,31.9286,70.4592,77.07,84,100,12.41,Clouds
599,Calvinia,ZA,-31.4707,19.776,44.89,45,0,5.01,Clear
600,Kailua,US,21.4022,-157.7394,81.64,70,20,14.97,Clouds
601,Virginia Beach,US,36.8529,-75.978,89.01,70,75,9.22,Clouds
602,Fuxin,CN,42.0156,121.6589,71.91,89,0,3.94,Clear
603,Perth,AU,-31.9333,115.8333,54.0,75,92,11.5,Clouds
604,Capao Da Canoa,BR,-29.7456,-50.0097,61.11,75,63,10.92,Clouds
605,Sackville,CA,45.9188,-64.3846,83.32,46,27,10.56,Clouds
606,Astana,KZ,51.1801,71.446,67.95,68,40,6.71,Clouds
607,Cicevac,RS,43.7188,21.4408,67.03,54,0,3.36,Clear
608,Trincomalee,LK,8.5711,81.2335,80.15,80,100,18.59,Clouds
609,Ariquemes,BR,-9.9133,-63.0408,97.56,22,1,2.95,Clear
610,Colon,PA,9.3592,-79.9014,85.24,70,68,11.86,Clouds
611,Santa Cruz Cabralia,BR,-16.2781,-39.0247,73.63,88,75,2.3,Clouds
612,Sabang,ID,5.8933,95.3214,82.13,76,100,17.65,Clouds
613,Zemio,CF,5.0314,25.1361,67.62,91,89,3.02,Clouds
614,Atar,MR,20.5169,-13.0499,98.33,31,10,7.96,Clear
615,Flinders,AU,-34.5833,150.8552,56.37,72,29,7.0,Clouds
616,Yaan,NG,7.3833,8.5667,72.34,95,97,5.86,Rain
617,Voh,NC,-20.9667,164.7,63.37,88,21,6.13,Clouds
618,Miandoab,IR,36.9694,46.1027,86.38,31,26,10.42,Clouds
619,Abu Zabad,SD,12.35,29.25,76.91,74,33,9.46,Clouds
