City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
354,Quatre Cocos,MU,71.1,Clouds,-20.2078,57.7625,Sunrise Attitude Hotel
355,Shelburne,CA,82.76,Clouds,44.0787,-80.2041,The Retreat at the Farm
356,Ishigaki,JP,80.73,Rain,24.3448,124.1572,Hotel Peace Land Ishigakijima
359,Port-Gentil,GA,75.16,Clouds,-0.7193,8.7815,Fengshui Residence
360,Amahai,ID,76.59,Clouds,-3.3333,128.9167,HOTEL ISABELA
368,Oussouye,SN,78.98,Rain,12.485,-16.5469,Auberge du Routard
369,Kathu,TH,80.42,Rain,7.9178,98.3332,Novotel Phuket Resort
370,Lagoa,PT,72.95,Clear,39.05,-27.9833,Casa Das Faias
372,Samarai,PG,79.23,Clouds,-10.6167,150.6667,Nuli Sapi
374,Lat Yao,TH,77.92,Clouds,15.751,99.7893,โรงแรมสอระ
378,Jining,CN,80.02,Clouds,35.405,116.5814,Yunhe Star Hotel
380,Salalah,OM,77.09,Clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
381,Presidente Epitacio,BR,86.88,Clear,-21.7633,-52.1156,Hotel Itaverá
382,Bilara,IN,82.31,Clouds,26.1792,73.7056,SAILANI E-MITRA
383,Ochakiv,UA,77.7,Clouds,46.6128,31.5498,Briz
384,Kushima,JP,79.92,Clouds,31.4583,131.2333,Hanaoka
386,Jacqueville,CI,75.92,Clouds,5.2052,-4.4146,Hotel Le Martin Pecheur
388,Tecoanapa,MX,86.83,Clouds,16.5167,-98.75,Hotel Manglares
389,Seydi,TM,87.48,Clouds,39.4816,62.9137,Seydi oteli
392,Mazagao,BR,89.65,Clouds,-0.115,-51.2894,Recanto dos Ferreiras
394,Erenhot,CN,80.58,Clouds,43.6475,111.9767,Erenhot Rurouni Youth Hostel
395,Ugoofaaru,MV,77.23,Clouds,5.6667,73.0,Ungoofaaru Inn
396,Bonthe,SL,77.92,Clouds,7.5264,-12.505,Bonthe Holiday Village
399,Vanimo,PG,77.86,Clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
401,Dakar,SN,84.33,Clouds,14.6937,-17.4441,Novotel Dakar
402,Fethiye,TR,84.07,Clear,36.6217,29.1164,Club & Hotel Letoonia
403,Trairi,BR,84.29,Clouds,-3.2778,-39.2689,janelas do mar
405,Vila Franca Do Campo,PT,73.81,Clouds,37.7167,-25.4333,Pestana Bahia Praia
407,Kropotkin,RU,83.43,Clear,45.4375,40.5756,Hotel Europe Kropotkin
409,Ardmore,US,89.85,Clear,34.1743,-97.1436,"Motel 6 Ardmore, OK"
412,Ambon,ID,75.34,Clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
413,Thanh Hoa,VN,80.31,Clouds,19.8,105.7667,KHÁCH SẠN NGỌC LY 8
415,Inirida,CO,85.8,Clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
417,Neftcala,AZ,79.11,Clouds,39.3742,49.2472,Otel restoran
418,Kapuskasing,CA,80.69,Clouds,49.4169,-82.4331,Park Inn Motel
422,Salamiyah,SY,78.13,Clear,35.0113,37.0532,Gondolas Forum grandchildren and grandparents
424,Rock Sound,BS,83.12,Clouds,24.9,-76.2,Pink Corral Bay Property
426,Busayra,JO,73.63,Clear,30.7376,35.6078,Matan Eco Villege
427,Puerto Escondido,MX,88.63,Clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
428,Ottawa,CA,83.98,Clouds,45.4112,-75.6981,Delta Hotels by Marriott Ottawa City Centre
429,Cayenne,GF,89.64,Clear,4.9333,-52.3333,Hôtel Le Dronmi
430,Ca Mau,VN,79.09,Clouds,9.1769,105.15,Mường Thanh Luxury Cà Mau Hotel
432,Virden,US,80.31,Clouds,39.5009,-89.7679,Virden Nail Spa
433,Seydisehir,TR,72.43,Clear,37.4193,31.8453,Otel KüçükKonak
434,Kolokani,ML,82.4,Clouds,13.5728,-8.0339,Lycee Famolo Coulibalibali De Kolokani
435,Allada,BJ,75.96,Clouds,6.6655,2.1514,Royaume hotel d' Allada
437,Japura,ID,74.97,Clouds,-0.3167,102.35,Rumah mbah Jamah
438,Bhawanipatna,IN,81.36,Clouds,19.9,83.1667,Bhagirathi inn
439,Porto Novo,BJ,76.82,Clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
440,Basar,IN,72.19,Clouds,27.9833,94.6667,Dolma Group of Hotels
441,Srivardhan,IN,81.07,Clouds,18.0333,73.0167,Savli Resort/Hotel - Shrivardhan
446,Clifton,US,89.83,Clouds,40.8584,-74.1638,Quality Urban Housing
449,Brufut,GM,75.29,Rain,13.3814,-16.7518,Gambia Hotel Resort & Spa
451,Tura,IN,73.69,Clouds,25.5198,90.2201,Hotel RIKMAN Continental
455,Terrace,CA,75.11,Clouds,54.5163,-128.6035,Northern Motor Inn
456,Makakilo City,US,80.19,Clear,21.3469,-158.0858,Marriott's Ko Olina Beach Club
457,Sechura,PE,73.72,Clouds,-5.5569,-80.8222,Hospedaje Costa Bella
458,Saint-Georges,GD,83.88,Clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
459,Acapulco,MX,87.62,Clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
460,Iwanai,JP,72.36,Clouds,42.9744,140.5089,いわない高原ホテル
462,Sakaiminato,JP,85.98,Clouds,35.55,133.2333,Italian pasley
463,Puerto Carreno,CO,87.82,Clouds,6.189,-67.4859,Casa Hotel Victoria
464,Cap-Aux-Meules,CA,71.65,Clouds,47.3821,-61.8597,Auberge Madeli
466,Sibolga,ID,76.64,Clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
467,Eureka,US,72.19,Clouds,40.8021,-124.1637,Eureka Inn Trademark By Wyndham
470,Boa Vista,BR,87.78,Clouds,2.8197,-60.6733,Aipana Plaza Hotel
472,Los Llanos De Aridane,ES,73.13,Clouds,28.6585,-17.9182,Valle Aridane
473,Kroya,ID,74.41,Clouds,-7.6331,109.2461,Devina kost & Homestay Kroya
476,Bac Lieu,VN,80.96,Clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
480,Palasa,IN,81.48,Clouds,18.7667,84.4167,Balaji tifen & meals veg & non veg hotel
482,Pimentel,PE,70.09,Clear,-6.8367,-79.9342,Hotel Puerto del Sol
485,Carutapera,BR,80.98,Clouds,-1.195,-46.02,Lidera
